name,location,status,material,manufacturer,length_in_m,height_in_m,speed_in_kmh,capacity,g_force,opening_date,closing_year,latitude,longitude,duration_in_seconds
Bocaraca,Other,unknown,steel,Vekoma,350.0,20.0,60.0,,,,,,,
Canyon Blaster (Adventuredome),Adventuredome,operating,steel,Arrow Dynamics,739.0,29.0,66.0,,3.5,1993-08-23,,36.1381,-115.1664,90
Cosmic Coaster (Worlds of Fun),Worlds of Fun,operating,steel,Preston & Barbieri,135.0,,,,,1993-04-03,,39.1723,-94.4889,55
Flight Deck (California's Great America),California's Great America,operating,steel,Bolliger & Mabillard,690.0,31.0,80.0,1330,4.5,1993-03-20,,37.3981,-121.9718,146
Gadget's Go Coaster,Other,unknown,steel,Vekoma,207.0,8.5,34.9,780,,,,,,44
Hundeprutterutchebane,BonBon-Land,operating,steel,Zierer,,,30.57746,650,,1993-01-01,,55.2599,11.8639,
Indiana Jones et le Temple du Péril,Disneyland Park (Paris),operating,steel,Intamin,,18.0,58.0,,,1993-07-30,,,,75
Kumba (roller coaster),Busch Gardens Tampa Bay,operating,steel,Bolliger & Mabillard,1212.0,44.0,97.0,1700,3.8,1993-04-20,,28.0397,-82.4231,174
Lightning Bolt (roller coaster),MGM Grand Adventures Theme Park,closed,other,Intamin,730.0,21.0,56.0,,,1993-01-01,"September 4, 2000",,,
Outlaw (roller coaster),Adventureland (Iowa),operating,wood,Custom Coasters International,850.0,20.0,77.0,,3.2,1993-04-24,,41.6491,-93.5006,120
Superman: Krypton Coaster (Six Flags Mexico),Other,in_production,steel,Vekoma,,,,,,,,,,
Thunderation,Silver Dollar City,operating,steel,Arrow Dynamics,921.0,25.0,77.0,,,1993-04-10,,36.6684,-93.3379,130
Top Gun (Kings Island),Kings Island,operating,steel,Arrow Dynamics,717.0,24.0,82.0,1200,2.9,1993-04-09,,39.3476,-84.2652,112
The Comet (Great Escape),Great Escape,operating,wood,Philadelphia Toboggan Coasters,1279.0,29.0,89.0,720,,1948-01-01,,43.3514,-73.6851,120
Condor (roller coaster),Walibi Holland,operating,steel,Vekoma,,,80.467,900,4.5,1994-05-01,,52.4404,5.7615,122
Corkscrew (Playland),Playland,closed,steel,Vekoma,730.0,23.0,64.0,,,1994-01-01,2018,49.2839,-123.0357,89
Desperado (roller coaster),Primm Valley Resorts,closed,steel,Arrow Dynamics,1781.0,64.0,130.0,900,4.0,1994-08-11,,35.6142,-115.3844,163
Diavlo,Himeji Central Park,operating,steel,Bolliger & Mabillard,794.0,32.99,78.1,,,1994-07-01,,34.8755,134.7637,108
Hakugei (roller coaster),Nagashima Spa Land,operating,steel,Rocky Mountain Construction,,,106.21644,,4.0,2019-03-28,,35.0303,136.7347,
Hoosier Hurricane,Indiana Beach,operating,wood,Custom Coasters International,881.0,23.0,82.0,,,1994-05-27,,40.7903,-86.7706,
Hurler (roller coaster),Other,unknown,wood,"International Coasters, Inc.",962.0,25.0,80.0,1100,4.1,,"November 1, 2015",,,120
Nemesis (roller coaster),Alton Towers,operating,steel,Bolliger & Mabillard,,,80.467,1200,3.5,1994-03-19,,52.9869,-1.8828,80
Raptor (Cedar Point),Cedar Point,operating,steel,Bolliger & Mabillard,1160.0,42.0,92.0,1600,,1994-05-07,,41.479,-82.6818,136
Roller Skater (roller coaster),Kentucky Kingdom,operating,steel,Vekoma,207.0,8.5,34.9,780,,1994-04-15,,38.1967,-85.7476,50
Shockwave (Drayton Manor),Drayton Manor Theme Park,operating,steel,Intamin,500.0,36.5,85.0,,4.0,1994-03-26,,52.6125,-1.7161,120
The Big One (roller coaster),Blackpool Pleasure Beach,operating,steel,Arrow Dynamics,1675.0,65.0,119.0,1700,3.5,1994-05-28,,53.7892,-3.0553,180
Titan (Space World),Space World,closed,steel,Arrow Dynamics,1530.0,51.0,115.1,1500,3.7,1994-03-05,31 December 2017,33.8748,130.8134,145
White Canyon (roller coaster),Yomiuriland,closed,wood,TOGO,1100.0,35.0,84.3,1008,3.5,1994-04-09,"January 14, 2013",35.6258,139.5214,132
Zach's Zoomer,Michigan's Adventure,operating,wood,Custom Coasters International,,,,450,,1994-07-22,,43.3434,-86.2809,80
Arkham Asylum – Shock Therapy,Warner Bros. Movie World,sbno,steel,Vekoma,,,88.5137,1010,4.0,1995-12-26,December 2019,-27.9083,153.3119,102
Back at the Barnyard Hayride,Nickelodeon Universe,operating,steel,Zamperla,,,,200,,1995-01-01,,44.8542,-93.2422,90
The Gold Coaster,Other,unknown,steel,Arrow Dynamics,,,85.29502,400,3.0,,27 January 2001,,,
Cactus Coaster,Other,unknown,steel,Allan Herschell Company,,3.7,,100,,,,,,
Cannonball Express (roller coaster),Pleasurewood Hills,operating,steel,Anton Schwarzkopf,530.0,16.0,55.0,300,,1995-01-01,,52.5062,1.7451,120
Cannonball Run (roller coaster),Waterville USA,closed,wood,Custom Coasters International,520.0,20.0,69.0,,,1995-01-01,2018[1],30.2585,-87.6859,
Comet Express,Other,unknown,other,,,,,,,,,,,
Cyclops (roller coaster),Mt. Olympus Water & Theme Park,operating,wood,Custom Coasters International,580.0,21.0,93.0,,4.2,1995-01-01,,43.6161,-89.7897,60
Dragon Khan,PortAventura Park,operating,steel,Bolliger & Mabillard,,,104.6071,,4.0,1995-05-02,,41.0875,1.1608,105
Eurostar (roller coaster),Other,unknown,steel,Intamin,844.0,30.15,80.8,1200,5.2,,,,,140
Flight Deck (Canada's Wonderland),Canada's Wonderland,operating,steel,Vekoma,,,79.984198,1040,,1995-01-01,,43.8412,-79.539,88
The Great Nor'easter,Morey's Piers,operating,steel,Vekoma,660.0,35.0,89.0,1200,,1995-05-26,,38.9893,-74.8023,125
Jaguar!,Knott's Berry Farm,operating,steel,Zierer,793.0,20.0,56.0,1800,,1995-06-17,,33.8458,-117.9992,120
The Raven (roller coaster),Holiday World & Splashin' Safari,operating,wood,Custom Coasters International,850.0,34.0,80.0,960,,1995-05-06,,38.1194,-86.9152,90
Sidewinder (Elitch Gardens),Other,unknown,steel,Arrow Dynamics,194.0,17.0,72.0,400,4.0,,1989,,,66
Space Mountain: De la Terre à la Lune,Disneyland Park (Paris),operating,steel,Vekoma,1000.0,32.0,71.0,2400,,2017-05-07,,48.8741,2.7793,135
Space Shuttle (roller coaster),Enchanted Kingdom,operating,steel,Vekoma,285.0,35.5,76.0,760,5.2,1995-07-28,,14.2819,121.0954,108
T2 (roller coaster),Kentucky Kingdom,operating,steel,Vekoma,662.0,31.0,80.0,900,,1995-04-08,,38.1941,-85.747,96
Twister II,Elitch Gardens,operating,wood,Hensel Phelps Construction,1410.0,30.0,89.0,1200,3.1,1995-05-27,,39.7464,-105.0144,137
Viper (Six Flags Great Adventure),Six Flags Great Adventure,closed,steel,TOGO,510.0,27.0,77.0,,,1995-06-02,"September 6, 2004",40.139,-74.435,144
Viper (Six Flags Great America),Six Flags Great America,operating,wood,Six Flags,1054.0,30.0,80.0,1000,3.6,1995-04-29,,42.3681,-87.9372,105
Viper (Six Flags Over Georgia),Other,closed,other,Anton Schwarzkopf,,,,1300,,,,,,
Backyardigans: Mission to Mars,Movie Park Germany,operating,steel,Vekoma,,,34.922678,780,,1996-06-30,31 October 20042007,51.6198,6.976,44
The Barnstormer,Magic Kingdom,operating,steel,Vekoma,,,40.2335,,,1996-10-01,"February 12, 2011 (Barnstormer)",28.4205,-81.5784,60
Colorado Adventure,Phantasialand,operating,steel,Vekoma,1280.0,26.0,50.1,2300,,1996-05-11,,50.7987,6.8815,175
Flight of Fear,Other,unknown,steel,Premier Rides,824.0,22.6,87.0,2000,4.5,,,,,60
Fujiyama (roller coaster),Fuji-Q Highland,operating,steel,TOGO,2045.0,79.0,130.0,1100,3.5,1996-07-01,,35.4859,138.777,216
The Great White (Morey's Piers),Morey's Piers,operating,wood,Custom Coasters International,1000.0,34.0,80.0,1200,,1996-06-10,,38.9865,-74.8107,120
High Roller (Stratosphere),Stratosphere Tower,closed,steel,S&MC,264.0,,48.0,700,2.0,1996-04-29,"December 30, 2005",36.1474,-115.1554,40
Megafobia,Oakwood Theme Park,operating,wood,Custom Coasters International,901.0,26.0,77.0,,2.75,1996-04-30,,51.7807,-4.8056,100
Montu (roller coaster),Busch Gardens Tampa Bay,operating,steel,Bolliger & Mabillard,1214.0,46.0,97.0,1710,3.8,1996-05-16,,28.0347,-82.4175,180
Pegasus (Mt. Olympus Water and Theme Park),Mt. Olympus Water & Theme Park,operating,wood,Custom Coasters International,,18.0,64.0,,,1996-01-01,,43.614,-89.7898,
Rougarou (roller coaster),Cedar Point,operating,steel,Bolliger & Mabillard,1200.0,44.0,97.0,1800,,2015-05-09,,41.4826,-82.6874,160
Runaway Mountain,"Arlington, Texas, U.S.",operating,other,,,,,,,,,32.7557,-97.0702,
Santa Monica West Coaster,Pacific Park,operating,steel,D. H. Morgan Manufacturing,400.0,17.0,56.0,,,1996-05-25,,,,
Skull Mountain,Six Flags Great Adventure,operating,steel,Intamin,420.0,12.3,53.0,1596,2.3,1996-06-03,,40.1346,-74.4419,84
The Barnstormer at Goofy's Wiseacre Farm,Magic Kingdom,operating,steel,Vekoma,,,40.2335,,,1996-10-01,"February 12, 2011 (Barnstormer)",28.4205,-81.5784,60
The Joker's Revenge,Other,unknown,steel,Vekoma,590.0,24.0,64.0,1200,3.5,,,,,84
The Mind Eraser (Geauga Lake),Other,unknown,steel,Vekoma,285.0,35.5,76.0,760,5.2,,"September 16, 2007",,,108
The Walking Dead: The Ride,Thorpe Park Resort,operating,steel,Vekoma,400.0,12.7,44.6,700,2.4,1996-03-23,,51.4036,-0.5132,120
Timber Terror,Silverwood Theme Park,operating,wood,Custom Coasters International,820.0,26.0,89.0,,,1996-01-01,,47.9044,-116.7094,92
The Underground (roller coaster),Adventureland (Iowa),operating,wood,Custom Coasters International,278.0,4.0,,,,1996-04-27,,,,120
Wild Thing (Valleyfair),Valleyfair,operating,steel,D. H. Morgan Manufacturing,1660.0,63.0,121.0,1700,4.1,1996-05-11,,44.7986,-93.4587,180
Wildcat (Hersheypark),Hersheypark,operating,wood,Great Coasters International,970.0,32.0,80.0,1310,3.5,1996-05-26,,40.2925,-76.6558,75
Wilde maus,Other,unknown,steel,Mack Rides,370.0,14.0,45.0,,,,2003,,,110
Alpengeist,Busch Gardens Williamsburg,operating,steel,Bolliger & Mabillard,1167.0,59.0,108.0,1820,3.7,1997-03-22,,37.2328,-76.6476,190
Boomerang: Coast to Coaster,Other,unknown,steel,Vekoma,285.0,35.5,76.0,760,5.2,,,,,108
Chang (roller coaster),Other,unknown,steel,Bolliger & Mabillard,1266.0,47.0,101.0,1556,,,"September 19, 2009",,,150
Euro-Mir,Europa-Park,operating,steel,Mack Rides,980.0,28.0,80.0,1600,4.0,1997-01-01,,48.2647,7.7197,273
The Great White (SeaWorld San Antonio),SeaWorld San Antonio,operating,steel,Bolliger & Mabillard,781.0,33.0,80.0,1400,4.6,1997-02-01,,29.4523,-98.6965,120
Green Lantern (Six Flags Great Adventure),Other,unknown,steel,Bolliger & Mabillard,1266.0,47.0,101.0,1556,,,"September 19, 2009",,,150
Invertigo (roller coaster),Other,in_production,other,Vekoma,309.0,40.0,80.0,,,,,,,90
Kiddie Coaster,Lake Compounce,operating,steel,Molina & Sons,,,,,,1997-06-27,,41.6423,-72.9226,
American Dreier Looping,Other,unknown,steel,Anton Schwarzkopf,1050.0,34.0,85.0,1500,4.7,,,,,
Pyrenees (roller coaster),Parque Espana-Shima Spain Village,operating,steel,Bolliger & Mabillard,,,99.77908,,,1997-01-01,,34.3598,136.845,113
Road Runner Express (Six Flags Fiesta Texas),Six Flags Fiesta Texas,operating,steel,Arrow Dynamics,730.0,22.0,56.0,1800,3.0,1997-05-01,,29.5991,-98.613,144
Big Apple Coaster,New York-New York Hotel and Casino,operating,steel,TOGO,1456.0,62.0,108.0,,,1997-01-03,,36.1019,-115.1736,160
Skytrak,Granada Studios Tour,closed,steel,Skytrak International,391.0,15.0,45.0,240,2.5,1997-10-01,1998,53.4781,-2.2571,
Stampida,Other,operating,wood,Custom Coasters International,953.1,25.6,74.0,,,1997-03-17,,41.0904,1.1566,100
Steel Force,Dorney Park & Wildwater Kingdom,operating,steel,D. H. Morgan Manufacturing,1700.0,61.0,121.0,1700,3.4,1997-05-30,,40.5789,-75.5381,180
Superman: Escape from Krypton,Other,operating,steel,Intamin,376.4,126.5,160.9,1050,4.5,1997-03-15,,34.425,-118.598,28
Tonnerre de Zeus,Parc Astérix,operating,wood,Custom Coasters International,1233.0,30.0,84.0,,,1997-01-01,,49.1314,2.5739,125
Tower of Terror II,Dreamworld,closed,steel,Intamin,,,160.934,,4.5,1997-01-23,3 November 2019Tower of Terror ll),-27.8641,153.3174,28
Windjammer Surf Racers,Other,closed,steel,TOGO,564.2,21.0,64.4,1400,,1997-03-26,"March 2, 2000",33.8458,-118.0008,90
Zeus (roller coaster),Mt. Olympus Water & Theme Park,operating,wood,Custom Coasters International,880.0,27.0,97.0,,,1997-06-07,,43.6167,-89.7892,85
Zoomerang (Lake Compounce),Lake Compounce,operating,steel,Vekoma,285.0,35.5,76.0,760,5.2,1997-06-27,,41.643,-72.9229,108
Batman & Robin: The Chiller,Other,closed,steel,Premier Rides,346.6,61.0,104.6,1360,5.0,1998-04-04,"June 28, 2007",,,32
Blue Tornado (roller coaster),Gardaland,operating,steel,Vekoma,765.0,33.0,80.0,1500,4.5,1998-01-01,,45.4566,10.7137,102
Doo Wopper,Morey's Piers,operating,steel,Zamperla,270.0,11.0,,500,,1998-08-07,,38.9892,-74.803,
Excalibur (Funtown Splashtown USA),Funtown Splashtown USA,operating,wood,Custom Coasters International,820.0,30.0,89.0,,,1998-01-01,,43.5283,-70.4312,118
GhostRider (roller coaster),Knott's Berry Farm,operating,wood,Custom Coasters International,1382.0,36.0,90.0,1600,3.1,1998-12-08,,33.8426,-117.9981,160
Great Bear (roller coaster),Hersheypark,operating,steel,Bolliger & Mabillard,850.0,27.0,93.0,1300,,1998-05-23,,40.2869,-76.6531,175
Invertigo (California's Great America),Other,in_production,other,Vekoma,309.0,40.0,80.0,,,,,,,90
Journey to Atlantis,SeaWorld Orlando,operating,steel,Mack Rides,,,,,,1998-04-17,,,,356
Kong (roller coaster),Other,unknown,steel,Vekoma,689.0,33.3,80.0,1040,,,1997,,,96
Mad Cobra (roller coaster),"Suzuka, Mie Prefecture, Japan",unknown,other,,,,,155000,,,,34.8431,136.5406,
Mad Mouse (Pavilion),Myrtle Beach Pavilion,closed,steel,Arrow Dynamics,383.0,18.0,40.0,,,1998-06-13,"September 30, 2006",33.6929,-78.8824,90
Mamba (roller coaster),Worlds of Fun,operating,steel,D. H. Morgan Manufacturing,1700.0,62.0,121.0,1700,3.5,1998-04-18,,39.172,-94.4906,180
Monte Makaya,Terra Encantada,closed,steel,Intamin,800.0,37.0,80.0,1500,,1998-01-16,June 2010,-22.9853,-43.3644,105
Mr. Freeze (roller coaster),Other,unknown,steel,Premier Rides,400.0,66.0,110.0,,4.0,,,,,
Oblivion (roller coaster),Alton Towers,operating,steel,Bolliger & Mabillard,,,109.43512,1900,4.5,1998-03-14,,52.9866,-1.8965,75
Rampage (roller coaster),Alabama Splash Adventure,operating,wood,Custom Coasters International,1100.0,37.0,90.0,900,,1998-05-23,,33.3792,-86.9969,156
Rattlesnake (roller coaster),Chessington World of Adventures,operating,steel,Maurer AG,370.0,15.01,45.0,550,,1998-01-01,,51.3487,-0.3178,
The Riddler's Revenge,Six Flags Magic Mountain,operating,steel,Bolliger & Mabillard,1330.0,48.0,105.0,1610,4.2,1998-04-04,,34.4245,-118.6006,180
Roar (roller coaster),Other,unknown,wood,Great Coasters International,1057.0,29.0,81.3,,3.5,,"August 16, 2015",,,112
Roller Coaster (Dam Sen Park),Dam Sen Cultural Park,operating,steel,Hebei Zhongye Metallurgical Equipment,,,69.20162,960,3.8,1998-01-01,,10.7605,106.6368,90
Scooby's Ghoster Coaster,Kings Island,closed,steel,Caripro,,11.0,13.0,,1.0,1998-04-18,2005,39.3423,-84.2699,50
Shivering Timbers,Michigan's Adventure,operating,wood,Custom Coasters International,1641.0,37.0,92.0,1200,3.8,1998-01-01,,43.3422,-86.2761,150
Sprocket Rockets,Six Flags Great America,operating,steel,Vekoma,207.0,8.5,34.9,780,,1998-01-01,,42.3669,-87.9311,44
Storm Chaser (roller coaster),Kentucky Kingdom,operating,steel,Rocky Mountain Construction,836.0,30.0,84.0,960,3.8,2016-04-30,,38.1958,-85.7503,100
Thunderhawk (Michigan's Adventure),Other,unknown,steel,Vekoma,689.0,33.3,80.0,1040,,,"September 16, 2007",,,96
Vapor Trail (roller coaster),Sesame Place,operating,steel,Vekoma,400.0,13.0,43.0,,,1998-06-01,,40.1852,-74.8725,75
Vogel Rok,Efteling,operating,steel,Vekoma,700.0,25.0,64.0,1600,3.5,1998-04-09,,51.6522,5.0525,101
Volcano: The Blast Coaster,Kings Dominion,closed,steel,Intamin,840.0,47.0,110.0,,,1998-08-03,2018,37.8394,-77.4402,
Wild Mouse (Lagoon),Lagoon Amusement Park,operating,steel,Maurer AG,370.0,15.0,45.0,900,,1998-04-10,,40.9839,-111.8945,70
Wilderness Run (Carowinds),Carowinds,operating,steel,E&F Miler Industries,,4.6,24.0,,,1998-01-01,,35.1011,-80.9388,
Afterburn (roller coaster),Carowinds,operating,steel,Bolliger & Mabillard,901.0,34.0,100.0,1380,,1999-03-20,,35.1003,-80.9409,167
Apollo's Chariot,Busch Gardens Williamsburg,operating,steel,Bolliger & Mabillard,1488.0,52.0,117.0,1750,4.1,1999-03-30,,37.2348,-76.6413,135
Bandit (Movie Park Germany),Movie Park Germany,operating,wood,Roller Coaster Corporation of America,,,80.467,,,1999-01-01,,51.6242,6.9754,90
Bizarro (roller coaster),Six Flags Great Adventure,operating,steel,Bolliger & Mabillard,1215.0,43.0,98.0,1350,4.0,1999-04-02,,40.1382,-74.4323,140
Canyon Blaster (Six Flags Magic Mountain),Six Flags Magic Mountain,operating,steel,E&F Miler Industries,,2.4,16.0,200,1.0,1999-05-30,,34.4249,-118.5964,52
Dragon Challenge,Other,closed,steel,Bolliger & Mabillard,975.4,38.1,96.6,,,1999-05-28,"September 4, 2017",28.4736,-81.4733,145
Exterminator (roller coaster),Kennywood,operating,steel,Reverchon Industries,420.0,13.0,46.8,900,2.5,1999-04-18,,40.3894,-79.8677,108
Georgia Scorcher,Six Flags Over Georgia,operating,steel,Bolliger & Mabillard,910.0,33.0,87.0,1300,4.0,1999-05-08,,33.7703,-84.5506,84
Great Chase (Six Flags America),Six Flags America,operating,steel,Zamperla,85.0,4.0,18.0,,,1999-01-01,,38.9075,-76.772,66
Harley Quinn Crazy Train,Six Flags Great Adventure,operating,steel,Zierer,360.0,8.0,36.0,1250,,1999-01-01,,40.1348,-74.4397,65
The Howler,Holiday World & Splashin' Safari,operating,steel,Zamperla,80.0,4.0,26.0,410,,1999-05-08,,38.1189,-86.9103,25
The Incredible Hulk Coaster,Universal's Islands of Adventure,operating,steel,Bolliger & Mabillard,1100.0,34.0,108.0,1920,4.0,1999-05-28,,28.4712,-81.4684,135
Invertigo (Kings Island),Other,in_production,other,Vekoma,309.0,40.0,80.0,,,,,,,90
Iron Gwazi,Busch Gardens Tampa Bay,in_production,steel,Rocky Mountain Construction,1242.0,63.0,122.0,,,,,28.0339,-82.4231,110
The Joker's Jinx,Six Flags America,operating,steel,Premier Rides,824.0,24.0,97.0,975,4.5,1999-05-08,,38.91,-76.776,56
Katapul,Other,closed,other,Anton Schwarzkopf,,,,1300,,,,,,
Lil' Devil Coaster,Six Flags Great Adventure,operating,steel,Zamperla,80.0,4.0,,,,1999-01-01,,40.1343,-74.4434,40
Limit (roller coaster),Heide Park,operating,steel,Vekoma,689.0,33.3,80.0,1040,,1999-01-01,,53.026,9.8818,88
Mad Mouse (Michigan's Adventure),Michigan's Adventure,operating,steel,Arrow Dynamics,386.0,21.0,53.0,500,,1999-08-07,,43.3474,-86.2789,90
Mad Mouse (Valleyfair),Valleyfair,operating,steel,Arrow Dynamics,383.0,15.0,48.0,1000,,1999-05-08,,44.7999,-93.4591,90
Millennium Roller Coaster,Fantasy Island,operating,steel,Vekoma,834.0,46.0,90.0,450,,1999-05-22,,53.192,0.347,100
Montaña Rusa (Parque del Café),Other,unknown,steel,Anton Schwarzkopf,787.0,17.3,66.3,1174,2.1,,1997,,,151
Montezum,Hopi Hari,operating,wood,Roller Coaster Corporation of America,,,102.99776,,,1999-01-01,,-23.0987,-47.0109,
Nightmare at Crack Axle Canyon,Other,unknown,steel,Anton Schwarzkopf,538.0,13.0,50.0,,,,,,,
Poltergeist (roller coaster),Six Flags Fiesta Texas,operating,steel,Premier Rides,824.0,24.0,97.0,,4.5,1999-05-28,,29.5969,-98.6083,75
Powder Keg: A Blast into the Wilderness,Other,unknown,steel,S&S – Sansei Technologies,1069.0,30.0,103.0,1000,3.9,,2003,,,173
Pteranodon Flyers,"Universal Orlando Resort, Orlando, Florida, United States",unknown,other,,,,,,,,,28.4717,-81.4714,
"Python (Coney Island, Cincinnati, Ohio)",Coney Island,closed,steel,Pinfari,340.0,12.0,,,,1999-01-01,"September 21, 2019",39.0539,-84.419,84
Raging Bull (roller coaster),Six Flags Great America,operating,steel,Bolliger & Mabillard,1541.0,62.0,117.0,1560,,1999-05-01,,42.3658,-87.9371,150
Road Runner Express (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,operating,steel,Zamperla,80.0,4.0,,,,1999-01-01,,38.1371,-122.2345,
Rock 'n' Roller Coaster Starring Aerosmith,Other,unknown,steel,Vekoma,996.0,24.0,92.0,1800,5.0,,"September 2, 2019",,,82
Rollie's Coaster,Morey's Piers,operating,steel,Pinfari,,,43.0,143,,1999-01-01,,38.9858,-74.8097,58
Silver Comet (roller coaster),Fantasy Island,temporary_closed,wood,Custom Coasters International,850.0,25.0,80.0,,,1999-05-01,,43.0283,-78.9739,105
Steel Eel,SeaWorld San Antonio,operating,steel,D. H. Morgan Manufacturing,1100.0,46.0,105.0,1200,3.5,1999-03-06,,29.4553,-98.6961,100
Superman – Ride of Steel,Other,unknown,steel,Intamin,1600.0,63.0,117.0,1100,,,,,,122
Tennessee Tornado,Dollywood,operating,steel,Arrow Dynamics,817.0,50.0,101.0,1360,3.7,1999-04-17,,35.793,-83.5279,108
Thunderbolt (Celebration City),Other,unknown,steel,S&MC,,17.0,55.0,,,,"October 25, 2008",,,80
Tornado (Parque de Atracciones de Madrid),Parque de Atracciones de Madrid,operating,steel,Intamin,800.0,30.0,80.0,,4.0,1999-05-23,,40.4134,-3.748,120
Tremors (roller coaster),Silverwood Theme Park,operating,wood,Custom Coasters International,963.0,26.0,80.0,,2.5,1999-05-15,,47.9053,-116.7097,100
Twisted Typhoon,Wild Adventures,operating,steel,Vekoma,689.0,33.3,80.0,1040,,1999-05-08,,30.7181,-83.3243,96
Twister (Knoebels Amusement Resort),Knoebels Amusement Resort,operating,wood,Knoebels Amusement Resort,1200.0,30.9,82.0,,,1999-07-24,,40.8771,-76.5041,130
Two Face: The Flip Side,Other,in_production,other,Vekoma,309.0,40.0,80.0,,,,,,,90
Wild Mouse (Hersheypark),Hersheypark,operating,steel,Mack Rides,370.0,14.0,45.0,835,,1999-05-08,,40.2925,-76.6548,118
Woodstock Express (Cedar Point),Cedar Point,operating,steel,Vekoma,335.0,12.0,40.0,,,1999-05-10,,41.4853,-82.689,70
Woodstock Express (Michigan's Adventure),Michigan's Adventure,operating,steel,Chance Rides,110.0,4.9,24.0,300,,1999-07-10,,43.3423,-86.2807,45
Woody Woodpecker's Nuthouse Coaster,Universal Studios Florida,operating,steel,Vekoma,207.0,8.5,34.9,780,,1999-03-13,,28.4739,-81.4649,44
Batman: The Ride (Six Flags México),Six Flags Mexico,operating,steel,Vekoma,689.0,33.3,80.0,1040,,2000-04-14,,19.2952,-99.2065,96
Boomerang (Worlds of Fun),Worlds of Fun,operating,steel,Vekoma,285.0,35.0,76.0,750,,2000-04-08,,39.1731,-94.4851,108
The Boss (roller coaster),Six Flags St. Louis,operating,wood,Custom Coasters International,1412.0,37.0,106.7,1400,,2000-04-29,,38.5161,-90.6789,180
Boulder Dash (roller coaster),Lake Compounce,operating,wood,Custom Coasters International,1440.0,34.0,97.0,,,2000-05-21,,41.6392,-72.9245,150
Catwoman's Whip,Six Flags New England,operating,steel,Zierer,360.0,8.0,36.0,1250,,2000-05-05,,42.0371,-72.6117,150
Dania Beach Hurricane,Boomers!,closed,wood,"Coaster Works, Inc.",980.0,30.0,80.0,,3.0,2000-11-01,"April 26, 2011",26.054,-80.1603,110
Diving Machine G5,Janfusun Fancyworld,operating,steel,Bolliger & Mabillard,380.0,,109.9,,5.0,2000-03-29,,23.6181,120.5772,
Dominator (roller coaster),Other,unknown,steel,Bolliger & Mabillard,1280.0,48.0,105.0,1600,3.8,,"September 16, 2007",,,126
Flying Dutchman Gold Mine,Other,unknown,steel,Mack Rides,,,45.06152,1120,,,2010,,,85
Flying Super Saturator,Carowinds,closed,steel,Setpoint USA,331.0,12.9,48.0,600,,2000-04-01,August 2008,35.1027,-80.9431,
Flying Unicorn,Other,unknown,steel,"Vekoma (Orlando, Japan)Mack Rides (Hollywood, Beijing)",335.0,13.0,45.9,,,,,,,66
Ghost Chasers (roller coaster),Movie Park Germany,operating,steel,Mack Rides,,,45.06152,1120,,2000-01-01,,51.6195,6.9765,110
Goliath (Six Flags Magic Mountain),Six Flags Magic Mountain,operating,steel,Giovanola,1400.0,72.0,137.0,1600,,2000-02-11,,34.4269,-118.5969,180
Gotham City Gauntlet: Escape from Arkham Asylum,Other,unknown,steel,Maurer AG,370.0,15.01,45.0,900,,,2009,,,92
Hurricane: Category 5,Myrtle Beach Pavilion,closed,wood,Custom Coasters International,1200.0,31.0,89.0,,3.0,2000-05-06,30 September 2006,33.6918,-78.8817,120
Jet Star (Luna Park),Other,unknown,steel,Anton Schwarzkopf,538.0,13.49,50.1,240,,,,,,67
Katun (roller coaster),Mirabilandia,operating,steel,Bolliger & Mabillard,1200.0,50.0,105.0,1700,4.0,2000-04-01,,44.3383,12.2668,142
Kraken (roller coaster),SeaWorld Orlando,operating,steel,Bolliger & Mabillard,1273.0,47.0,105.0,1500,3.9,2000-06-01,,28.4111,-81.4583,122
The Legend (roller coaster),Holiday World & Splashin' Safari,operating,wood,Custom Coasters International,1232.0,30.0,95.0,800,,2000-05-06,,38.1202,-86.914,120
Lightning Racer,Other,operating,wood,Great Coasters International,1034.2,28.0,82.1,,3.6,2000-05-13,,40.2929,-76.6532,140
Linnunrata,Linnanmäki,operating,steel,Zierer,,,40.2335,800,,2000-05-01,,60.1878,24.94,60
Medusa (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,operating,steel,Bolliger & Mabillard,1200.0,46.0,105.0,1600,4.5,2000-03-18,,38.1406,-122.2336,195
Mega Zeph,Six Flags New Orleans,closed,wood,Custom Coasters International,1200.0,34.0,92.0,,,2000-05-20,"August 21, 2005",30.0531,-89.9375,
Millennium Force,Cedar Point,operating,steel,Intamin,2010.0,94.0,150.0,1300,4.5,2000-05-13,,41.4817,-82.6881,140
Muskrat Scrambler,Six Flags New Orleans,closed,steel,L&T Systems,360.7,14.5,40.0,700,,2000-05-20,"August 21, 2005",30.0515,-89.9357,
Possessed (roller coaster),Other,unknown,steel,Intamin,215.0,55.0,110.0,950,3.7,,2006,,,
Ravine Flyer III,Waldameer Park,operating,steel,E&F Miler Industries,,,,,,2000-01-01,,42.109,-80.1565,
RC-48,Morey's Piers,closed,steel,Pinfari,,,,,,2000-01-01,2004,38.9888,-74.8023,
Road Runner Express (Six Flags Kentucky Kingdom),Other,unknown,steel,Maurer AG,370.0,15.01,45.0,900,,,2009,,,92
